Marca,Modelo,Ano,Combustível,Quilometragem,Cidade,Problema,Custo Estimado
VOLKSWAGEN,POLO,2009,Diesel,210481,Manaus,bateria,1382.55
FORD,FIESTA,2016,Etanol,31568,Manaus,superaquecimento_motor,957.86
VOLKSWAGEN,JETTA,2019,Diesel,272990,Salvador,alinhamento,230.79
FIAT,TORO,2023,Gasolina,136971,São Paulo,alinhamento,151.73
FORD,FIESTA,2004,Diesel,86038,Belo Horizonte,pastilhas_de_freio,283.09
FIAT,MOBI,2001,Etanol,197173,Belo Horizonte,transmissao,1298.17
CHEVROLET,SPIN,2005,Etanol,129789,Rio de Janeiro,bateria,1283.4
FIAT,MOBI,2020,Gasolina,74723,Belo Horizonte,alinhamento,145.73
HONDA,CIVIC,2001,Etanol,238755,Salvador,velas_de_ignicao,228.6
FORD,KA,2012,Diesel,240822,Curitiba,velas_de_ignicao,175.77
FIAT,TORO,2010,Etanol,56888,Belo Horizonte,velas_de_ignicao,122.43
VOLKSWAGEN,JETTA,2010,Gasolina,183206,São Paulo,superaquecimento_motor,1657.67
FORD,FIESTA,2015,Etanol,268227,Salvador,superaquecimento_motor,1692.84
VOLKSWAGEN,POLO,2010,Diesel,143670,Belo Horizonte,bateria,1170.8
FORD,FIESTA,2018,Gasolina,92416,Manaus,alinhamento,163.51
VOLKSWAGEN,POLO,2014,Diesel,264724,Belo Horizonte,alinhamento,266.68
FORD,FIESTA,2022,Gasolina,122834,Manaus,alinhamento,152.69
HONDA,CIVIC,2022,Etanol,112148,Salvador,superaquecimento_motor,967.4
FORD,KA,2015,Gasolina,188467,Belo Horizonte,bateria,1119.4
HONDA,CIVIC,2010,Gasolina,271530,Manaus,alinhamento,301.64
FIAT,MOBI,2021,Etanol,150594,Curitiba,pastilhas_de_freio,202.77
CHEVROLET,SPIN,2015,Diesel,196604,Rio de Janeiro,transmissao,910.44
FIAT,TORO,2007,Etanol,33545,Salvador,cambio,3608.77
HONDA,CIVIC,2003,Gasolina,185151,Manaus,velas_de_ignicao,197.09
HONDA,FIT,2007,Etanol,288999,São Paulo,velas_de_ignicao,218.01
FORD,FIESTA,2003,Gasolina,35790,Belo Horizonte,pastilhas_de_freio,251.84
FIAT,MOBI,2023,Etanol,51012,Manaus,alinhamento,121.88
VOLKSWAGEN,POLO,2002,Etanol,117827,Manaus,bateria,1334.73
FORD,FIESTA,2002,Diesel,260123,Manaus,bateria,1789.28
FIAT,MOBI,2017,Gasolina,14260,Rio de Janeiro,superaquecimento_motor,879.49
FIAT,TORO,2018,Diesel,196211,São Paulo,alinhamento,206.75
CHEVROLET,SPIN,2018,Gasolina,263218,São Paulo,bateria,1173.37
FORD,FIESTA,2020,Etanol,140547,Curitiba,alinhamento,171.32
HONDA,CIVIC,2004,Gasolina,209486,Rio de Janeiro,velas_de_ignicao,202.38
HONDA,CIVIC,2017,Diesel,146192,Manaus,cambio,3650.1
VOLKSWAGEN,POLO,2009,Diesel,264130,Salvador,cambio,5805.84
VOLKSWAGEN,JETTA,2021,Diesel,240201,Rio de Janeiro,cambio,3848.93
VOLKSWAGEN,JETTA,2020,Gasolina,163502,Rio de Janeiro,velas_de_ignicao,117.16
VOLKSWAGEN,JETTA,2005,Diesel,238569,São Paulo,superaquecimento_motor,2090.69
CHEVROLET,ONIX,2000,Diesel,55479,Curitiba,cambio,4502.73
CHEVROLET,SPIN,2004,Diesel,264320,Curitiba,velas_de_ignicao,224.16
FORD,FIESTA,2008,Etanol,84258,Rio de Janeiro,alinhamento,213.48
FORD,FIESTA,2011,Etanol,239423,Rio de Janeiro,cambio,5266.87
FORD,FIESTA,2013,Gasolina,84153,Belo Horizonte,pastilhas_de_freio,224.09
VOLKSWAGEN,JETTA,2001,Gasolina,192990,Manaus,superaquecimento_motor,2091.78
FIAT,TORO,2016,Diesel,259642,São Paulo,pastilhas_de_freio,298.48
FORD,FIESTA,2013,Etanol,233984,Manaus,alinhamento,259.58
HONDA,FIT,2012,Diesel,77442,Salvador,superaquecimento_motor,1226.69
CHEVROLET,SPIN,2008,Diesel,57124,Salvador,pastilhas_de_freio,238.08
FORD,FIESTA,2014,Etanol,259488,Curitiba,superaquecimento_motor,1717.32
VOLKSWAGEN,JETTA,2021,Etanol,78947,São Paulo,alinhamento,142.11
VOLKSWAGEN,JETTA,2014,Etanol,272217,Manaus,bateria,1351.07
CHEVROLET,ONIX,2023,Gasolina,299395,Curitiba,cambio,3954.34
VOLKSWAGEN,JETTA,2010,Gasolina,96496,Salvador,superaquecimento_motor,1360.2
CHEVROLET,SPIN,2015,Diesel,202509,Rio de Janeiro,cambio,4376.02
FIAT,MOBI,2016,Gasolina,262037,São Paulo,cambio,4746.09
VOLKSWAGEN,JETTA,2003,Etanol,266626,São Paulo,bateria,1770.71
HONDA,FIT,2000,Etanol,222036,Manaus,alinhamento,348.02
CHEVROLET,ONIX,2007,Gasolina,170646,Belo Horizonte,superaquecimento_motor,1742.04
HONDA,CIVIC,2016,Diesel,269482,Manaus,superaquecimento_motor,1645.17
VOLKSWAGEN,JETTA,2002,Diesel,173790,Rio de Janeiro,bateria,1513.5
FORD,FIESTA,2019,Gasolina,143572,Rio de Janeiro,velas_de_ignicao,116.13
VOLKSWAGEN,JETTA,2014,Diesel,142617,Curitiba,bateria,1045.07
CHEVROLET,SPIN,2014,Diesel,61480,São Paulo,bateria,853.49
FIAT,TORO,2023,Diesel,136313,Curitiba,bateria,757.49
HONDA,CIVIC,2021,Etanol,220386,Rio de Janeiro,alinhamento,195.14
HONDA,CIVIC,2013,Etanol,4695,Belo Horizonte,transmissao,592.46
VOLKSWAGEN,JETTA,2022,Gasolina,208138,São Paulo,bateria,917.47
HONDA,FIT,2013,Etanol,14318,Rio de Janeiro,superaquecimento_motor,993.16
FIAT,MOBI,2023,Diesel,183744,Belo Horizonte,pastilhas_de_freio,201.56
FORD,FIESTA,2001,Etanol,91891,Manaus,velas_de_ignicao,166.28
VOLKSWAGEN,JETTA,2012,Gasolina,224757,Salvador,bateria,1311.89
CHEVROLET,SPIN,2013,Etanol,68754,Rio de Janeiro,bateria,896.28
CHEVROLET,ONIX,2023,Diesel,40077,Salvador,velas_de_ignicao,76.75
CHEVROLET,SPIN,2018,Diesel,135311,Curitiba,bateria,906.9
CHEVROLET,ONIX,2006,Gasolina,241504,Salvador,superaquecimento_motor,2053.2
FORD,KA,2002,Etanol,291813,Rio de Janeiro,transmissao,1512.41
HONDA,CIVIC,2014,Etanol,135222,Salvador,bateria,1027.61
CHEVROLET,SPIN,2022,Etanol,142181,São Paulo,velas_de_ignicao,103.79
HONDA,FIT,2013,Diesel,230822,Rio de Janeiro,bateria,1290.19
FORD,KA,2010,Gasolina,157088,Belo Horizonte,alinhamento,241.24
FIAT,TORO,2014,Etanol,143008,Salvador,superaquecimento_motor,1359.79
FORD,FIESTA,2012,Diesel,142108,São Paulo,superaquecimento_motor,1436.85
VOLKSWAGEN,POLO,2017,Diesel,145093,Curitiba,transmissao,766.55
HONDA,FIT,2005,Diesel,299087,Curitiba,alinhamento,357.79
HONDA,FIT,2002,Etanol,113694,Salvador,alinhamento,264.3
FORD,KA,2018,Etanol,234456,Curitiba,transmissao,890.76
FIAT,TORO,2014,Etanol,212079,Belo Horizonte,cambio,4594.49
CHEVROLET,SPIN,2022,Etanol,244269,Rio de Janeiro,cambio,3734.29
VOLKSWAGEN,JETTA,2004,Etanol,245385,São Paulo,pastilhas_de_freio,399.95
VOLKSWAGEN,JETTA,2009,Etanol,123351,Manaus,cambio,4356.99
FORD,KA,2006,Etanol,3770,Salvador,bateria,886.0
HONDA,CIVIC,2016,Etanol,53811,Curitiba,alinhamento,157.25
VOLKSWAGEN,POLO,2006,Etanol,266145,Rio de Janeiro,pastilhas_de_freio,396.3
CHEVROLET,SPIN,2021,Diesel,60848,Manaus,pastilhas_de_freio,162.38
FORD,KA,2011,Etanol,52635,Belo Horizonte,superaquecimento_motor,1177.9
FIAT,MOBI,2016,Gasolina,20946,Curitiba,bateria,713.21
CHEVROLET,SPIN,2012,Diesel,95852,Curitiba,superaquecimento_motor,1286.52
HONDA,FIT,2019,Etanol,117729,São Paulo,velas_de_ignicao,109.36
FORD,FIESTA,2003,Gasolina,170231,Belo Horizonte,cambio,5583.99
HONDA,CIVIC,2009,Etanol,285815,Belo Horizonte,superaquecimento_motor,2062.56
VOLKSWAGEN,JETTA,2002,Gasolina,147522,Salvador,alinhamento,285.92
FORD,FIESTA,2008,Gasolina,96748,Manaus,alinhamento,220.42
VOLKSWAGEN,POLO,2012,Gasolina,239292,São Paulo,bateria,1348.23
FORD,KA,2017,Gasolina,104733,Salvador,pastilhas_de_freio,209.11
HONDA,FIT,2014,Diesel,126865,São Paulo,alinhamento,201.58
VOLKSWAGEN,JETTA,2003,Diesel,279302,Belo Horizonte,cambio,6879.21
CHEVROLET,SPIN,2014,Gasolina,62576,São Paulo,superaquecimento_motor,1112.91
FIAT,MOBI,2021,Etanol,155260,São Paulo,cambio,3243.73
CHEVROLET,SPIN,2001,Gasolina,223687,São Paulo,superaquecimento_motor,2222.03
CHEVROLET,SPIN,2014,Diesel,135091,Rio de Janeiro,bateria,1027.3
FIAT,MOBI,2007,Etanol,12419,Rio de Janeiro,cambio,3380.2
FIAT,MOBI,2007,Diesel,33697,Manaus,superaquecimento_motor,1235.14
VOLKSWAGEN,POLO,2016,Diesel,95428,Manaus,cambio,3339.17
FORD,FIESTA,2011,Etanol,139045,Belo Horizonte,transmissao,902.48
FIAT,TORO,2018,Gasolina,239073,São Paulo,bateria,1123.07
VOLKSWAGEN,JETTA,2009,Gasolina,86649,Belo Horizonte,bateria,1047.17
VOLKSWAGEN,JETTA,2008,Gasolina,273280,Rio de Janeiro,alinhamento,318.49
FIAT,TORO,2004,Gasolina,162357,São Paulo,bateria,1412.76
VOLKSWAGEN,POLO,2005,Etanol,285183,Salvador,velas_de_ignicao,227.16
CHEVROLET,ONIX,2019,Etanol,123168,Rio de Janeiro,alinhamento,170.44
CHEVROLET,ONIX,2001,Etanol,88263,Rio de Janeiro,alinhamento,253.45
CHEVROLET,SPIN,2023,Diesel,59155,Rio de Janeiro,cambio,2369.43
HONDA,FIT,2012,Etanol,16911,São Paulo,transmissao,633.82
FORD,FIESTA,2005,Gasolina,916,Manaus,alinhamento,179.71
FORD,FIESTA,2004,Diesel,232695,Curitiba,pastilhas_de_freio,390.64
CHEVROLET,ONIX,2000,Gasolina,279934,Salvador,superaquecimento_motor,2513.05
HONDA,CIVIC,2020,Gasolina,121937,Salvador,superaquecimento_motor,1066.56
VOLKSWAGEN,JETTA,2021,Etanol,85053,Belo Horizonte,bateria,721.97
VOLKSWAGEN,POLO,2020,Etanol,299840,São Paulo,cambio,4432.15
FORD,FIESTA,2005,Gasolina,102395,Manaus,transmissao,961.28
FIAT,TORO,2005,Gasolina,197298,Rio de Janeiro,superaquecimento_motor,1930.48
VOLKSWAGEN,POLO,2022,Diesel,25103,Curitiba,pastilhas_de_freio,140.88
FORD,KA,2015,Etanol,257777,São Paulo,transmissao,1022.59
HONDA,CIVIC,2003,Diesel,57730,São Paulo,velas_de_ignicao,145.33
VOLKSWAGEN,JETTA,2010,Diesel,25825,Manaus,superaquecimento_motor,1117.76
FIAT,TORO,2023,Diesel,207328,Curitiba,alinhamento,176.16
CHEVROLET,SPIN,2022,Gasolina,37271,Rio de Janeiro,pastilhas_de_freio,146.15
FIAT,TORO,2008,Diesel,77256,São Paulo,cambio,3982.15
CHEVROLET,SPIN,2022,Diesel,66433,Salvador,cambio,2514.14
FIAT,TORO,2002,Gasolina,213702,Salvador,pastilhas_de_freio,393.84
FIAT,MOBI,2018,Etanol,101999,Curitiba,superaquecimento_motor,1088.75
CHEVROLET,SPIN,2007,Etanol,232062,Rio de Janeiro,bateria,1514.9
HONDA,CIVIC,2004,Diesel,23572,Curitiba,velas_de_ignicao,128.53
FORD,FIESTA,2003,Gasolina,38546,São Paulo,alinhamento,211.59
VOLKSWAGEN,POLO,2023,Etanol,206271,Salvador,velas_de_ignicao,114.26
HONDA,FIT,2005,Diesel,36948,Belo Horizonte,velas_de_ignicao,130.8
FORD,FIESTA,2001,Diesel,289151,Curitiba,superaquecimento_motor,2499.8
FORD,KA,2019,Gasolina,100819,Belo Horizonte,alinhamento,161.44
FORD,FIESTA,2010,Diesel,22024,Belo Horizonte,superaquecimento_motor,1104.72
VOLKSWAGEN,JETTA,2003,Etanol,243480,Manaus,superaquecimento_motor,2207.89
VOLKSWAGEN,POLO,2014,Gasolina,82912,Salvador,bateria,904.1
CHEVROLET,SPIN,2005,Etanol,255233,Curitiba,pastilhas_de_freio,397.92
HONDA,CIVIC,2021,Etanol,233746,Belo Horizonte,cambio,3802.94
HONDA,FIT,2016,Etanol,261139,São Paulo,bateria,1246.98
HONDA,FIT,2023,Diesel,132828,Manaus,cambio,2855.46
CHEVROLET,ONIX,2005,Diesel,231749,Rio de Janeiro,bateria,1587.86
VOLKSWAGEN,POLO,2018,Etanol,102488,Manaus,superaquecimento_motor,1090.07
CHEVROLET,SPIN,2001,Etanol,96741,Rio de Janeiro,bateria,1294.92
FIAT,TORO,2014,Gasolina,189123,Salvador,cambio,4388.52
FORD,FIESTA,2010,Gasolina,231773,Curitiba,bateria,1403.29
VOLKSWAGEN,POLO,2007,Diesel,174166,Curitiba,transmissao,1080.04
FORD,FIESTA,2018,Diesel,218961,Rio de Janeiro,alinhamento,216.23
HONDA,FIT,2012,Gasolina,47367,São Paulo,pastilhas_de_freio,208.42
FORD,FIESTA,2011,Etanol,238544,Rio de Janeiro,cambio,5258.28
VOLKSWAGEN,POLO,2004,Diesel,59884,Rio de Janeiro,alinhamento,219.93
HONDA,FIT,2005,Etanol,144352,Curitiba,pastilhas_de_freio,318.45
VOLKSWAGEN,POLO,2021,Gasolina,53251,Belo Horizonte,transmissao,529.88
FORD,KA,2003,Diesel,84821,São Paulo,superaquecimento_motor,1563.34
CHEVROLET,SPIN,2018,Diesel,83583,Curitiba,cambio,3036.7
HONDA,FIT,2019,Gasolina,244697,Manaus,pastilhas_de_freio,263.27
CHEVROLET,SPIN,2000,Diesel,10207,Rio de Janeiro,pastilhas_de_freio,248.17
FIAT,TORO,2019,Gasolina,202199,Belo Horizonte,pastilhas_de_freio,242.73
FIAT,MOBI,2016,Diesel,27757,São Paulo,transmissao,582.68
VOLKSWAGEN,POLO,2011,Gasolina,151328,Salvador,alinhamento,231.93
CHEVROLET,SPIN,2014,Diesel,295966,São Paulo,transmissao,1125.71
FIAT,MOBI,2000,Etanol,262070,São Paulo,pastilhas_de_freio,449.66
VOLKSWAGEN,JETTA,2013,Etanol,41340,Rio de Janeiro,bateria,829.65
FIAT,MOBI,2005,Etanol,242955,Rio de Janeiro,pastilhas_de_freio,389.12
HONDA,FIT,2004,Diesel,75320,Salvador,bateria,1146.81
CHEVROLET,SPIN,2010,Diesel,282081,Salvador,superaquecimento_motor,1996.86
HONDA,FIT,2003,Etanol,273363,Salvador,transmissao,1433.41
CHEVROLET,ONIX,2012,Etanol,9399,Curitiba,bateria,773.5
HONDA,CIVIC,2010,Gasolina,126733,Curitiba,transmissao,900.88
VOLKSWAGEN,POLO,2002,Gasolina,229920,Rio de Janeiro,velas_de_ignicao,220.06
HONDA,FIT,2000,Gasolina,282191,Rio de Janeiro,alinhamento,388.13
FORD,FIESTA,2005,Etanol,231615,Salvador,velas_de_ignicao,206.37
FORD,KA,2017,Etanol,85693,Curitiba,bateria,830.31
VOLKSWAGEN,POLO,2023,Etanol,100931,Belo Horizonte,velas_de_ignicao,90.49
HONDA,CIVIC,2009,Gasolina,175963,Curitiba,cambio,4898.45
VOLKSWAGEN,POLO,2004,Diesel,137852,Rio de Janeiro,alinhamento,267.58
CHEVROLET,SPIN,2022,Etanol,289194,Curitiba,bateria,1063.82
VOLKSWAGEN,JETTA,2009,Diesel,73551,Rio de Janeiro,superaquecimento_motor,1315.21
CHEVROLET,ONIX,2011,Diesel,224691,Salvador,superaquecimento_motor,1752.61
CHEVROLET,SPIN,2001,Diesel,82016,Salvador,alinhamento,249.37
CHEVROLET,SPIN,2012,Gasolina,113135,Salvador,alinhamento,206.57
FIAT,MOBI,2007,Diesel,53010,Belo Horizonte,bateria,1005.1
FIAT,TORO,2001,Etanol,232084,Belo Horizonte,transmissao,1389.33
CHEVROLET,SPIN,2019,Gasolina,38165,Rio de Janeiro,cambio,2587.9
FIAT,MOBI,2000,Etanol,273672,São Paulo,bateria,1912.24
FORD,KA,2004,Etanol,180680,Manaus,transmissao,1175.0
CHEVROLET,SPIN,2008,Gasolina,37136,Belo Horizonte,transmissao,749.19
FIAT,TORO,2016,Etanol,12076,Rio de Janeiro,transmissao,554.8
HONDA,CIVIC,2008,Etanol,155855,Curitiba,bateria,1266.26
HONDA,CIVIC,2010,Gasolina,177788,Salvador,pastilhas_de_freio,302.6
FORD,FIESTA,2014,Etanol,50298,Salvador,pastilhas_de_freio,198.5
FORD,KA,2023,Diesel,69835,Salvador,superaquecimento_motor,834.7
CHEVROLET,SPIN,2005,Etanol,112424,Rio de Janeiro,pastilhas_de_freio,295.57
CHEVROLET,ONIX,2022,Diesel,139190,Salvador,pastilhas_de_freio,190.32
FORD,KA,2002,Etanol,254394,Belo Horizonte,transmissao,1416.78
VOLKSWAGEN,POLO,2016,Gasolina,103088,Curitiba,transmissao,716.6
CHEVROLET,ONIX,2004,Gasolina,15185,Salvador,alinhamento,192.61
VOLKSWAGEN,POLO,2011,Etanol,50613,Rio de Janeiro,transmissao,720.7
FIAT,TORO,2017,Gasolina,241084,Curitiba,bateria,1164.83
VOLKSWAGEN,JETTA,2013,Etanol,164999,Salvador,alinhamento,226.04
FIAT,MOBI,2020,Gasolina,262530,São Paulo,cambio,4156.47
FIAT,MOBI,2023,Diesel,292164,Salvador,alinhamento,205.61
CHEVROLET,ONIX,2010,Etanol,42678,Manaus,pastilhas_de_freio,217.03
VOLKSWAGEN,POLO,2008,Diesel,217767,Belo Horizonte,transmissao,1150.59
VOLKSWAGEN,POLO,2001,Diesel,61394,Curitiba,pastilhas_de_freio,283.09
VOLKSWAGEN,JETTA,2011,Etanol,200017,Belo Horizonte,transmissao,1027.81
FIAT,TORO,2002,Diesel,115377,São Paulo,pastilhas_de_freio,318.46
HONDA,FIT,2002,Etanol,121716,São Paulo,cambio,5119.16
FIAT,MOBI,2000,Diesel,187486,Manaus,pastilhas_de_freio,389.99
VOLKSWAGEN,JETTA,2007,Etanol,55918,Belo Horizonte,pastilhas_de_freio,243.21
CHEVROLET,ONIX,2021,Etanol,242556,Curitiba,bateria,1017.29
CHEVROLET,SPIN,2007,Gasolina,160527,São Paulo,cambio,4982.65
VOLKSWAGEN,POLO,2010,Etanol,169807,São Paulo,superaquecimento_motor,1611.7
FORD,FIESTA,2008,Etanol,94702,Salvador,cambio,4166.3
HONDA,CIVIC,2004,Diesel,105509,Manaus,pastilhas_de_freio,297.37
FORD,KA,2013,Etanol,114310,Rio de Janeiro,velas_de_ignicao,130.91
FIAT,MOBI,2002,Gasolina,199092,São Paulo,velas_de_ignicao,207.26
VOLKSWAGEN,POLO,2020,Diesel,34622,Curitiba,velas_de_ignicao,84.59
VOLKSWAGEN,JETTA,2004,Diesel,109935,Curitiba,bateria,1252.58
FORD,FIESTA,2004,Gasolina,260440,Salvador,alinhamento,342.49
HONDA,CIVIC,2018,Diesel,117919,Curitiba,pastilhas_de_freio,208.96
CHEVROLET,SPIN,2013,Diesel,172026,Salvador,cambio,4359.68
FIAT,MOBI,2003,Diesel,69519,São Paulo,velas_de_ignicao,150.12
CHEVROLET,SPIN,2012,Diesel,187187,São Paulo,bateria,1217.97
FORD,KA,2009,Gasolina,256587,São Paulo,alinhamento,301.48
HONDA,FIT,2017,Gasolina,148112,São Paulo,velas_de_ignicao,125.41
FIAT,MOBI,2007,Diesel,44772,Rio de Janeiro,transmissao,785.31
HONDA,CIVIC,2007,Diesel,122431,Manaus,superaquecimento_motor,1563.58
HONDA,FIT,2006,Gasolina,194904,Manaus,pastilhas_de_freio,346.43
VOLKSWAGEN,POLO,2007,Gasolina,158988,Rio de Janeiro,superaquecimento_motor,1698.89
FIAT,TORO,2013,Gasolina,288516,São Paulo,superaquecimento_motor,1859.55
FORD,FIESTA,2018,Diesel,39080,Curitiba,transmissao,565.13
VOLKSWAGEN,JETTA,2005,Diesel,106242,Salvador,transmissao,970.47
VOLKSWAGEN,POLO,2000,Etanol,29048,Manaus,transmissao,877.46
HONDA,CIVIC,2022,Gasolina,85205,Belo Horizonte,alinhamento,139.1
VOLKSWAGEN,JETTA,2014,Diesel,167403,Salvador,velas_de_ignicao,143.47
CHEVROLET,SPIN,2000,Gasolina,256392,Belo Horizonte,cambio,7047.63
CHEVROLET,SPIN,2016,Diesel,20968,Belo Horizonte,pastilhas_de_freio,171.18
FORD,FIESTA,2000,Gasolina,234417,São Paulo,transmissao,1425.11
FORD,FIESTA,2014,Diesel,11292,Belo Horizonte,bateria,735.0
VOLKSWAGEN,POLO,2022,Etanol,251942,São Paulo,pastilhas_de_freio,239.17
FIAT,TORO,2001,Etanol,249004,Rio de Janeiro,cambio,6809.17
FORD,FIESTA,2013,Gasolina,84193,Curitiba,pastilhas_de_freio,224.11
HONDA,CIVIC,2020,Diesel,69165,Belo Horizonte,pastilhas_de_freio,172.28
CHEVROLET,SPIN,2007,Diesel,101398,Curitiba,transmissao,914.3
VOLKSWAGEN,POLO,2007,Gasolina,222182,São Paulo,transmissao,1189.41
CHEVROLET,ONIX,2018,Diesel,153329,Belo Horizonte,velas_de_ignicao,122.78
FIAT,MOBI,2006,Gasolina,100588,Salvador,cambio,4439.85
FORD,KA,2018,Diesel,252822,Rio de Janeiro,transmissao,921.37
FIAT,TORO,2005,Gasolina,222345,Manaus,transmissao,1247.82
CHEVROLET,ONIX,2005,Diesel,208655,Rio de Janeiro,pastilhas_de_freio,364.54
FIAT,TORO,2002,Gasolina,284257,Belo Horizonte,velas_de_ignicao,242.63
HONDA,FIT,2006,Diesel,262838,Rio de Janeiro,superaquecimento_motor,2134.09
HONDA,FIT,2018,Etanol,15588,Manaus,transmissao,525.98
HONDA,FIT,2007,Diesel,192828,Salvador,bateria,1403.19
FIAT,TORO,2009,Gasolina,242431,Curitiba,transmissao,1175.27
HONDA,FIT,2019,Etanol,245456,Salvador,superaquecimento_motor,1428.03
VOLKSWAGEN,JETTA,2014,Diesel,192214,Rio de Janeiro,pastilhas_de_freio,278.92
FORD,KA,2014,Etanol,64373,Manaus,cambio,3269.24
CHEVROLET,ONIX,2000,Diesel,6704,Curitiba,velas_de_ignicao,132.91
FIAT,TORO,2019,Etanol,40136,Manaus,pastilhas_de_freio,164.4
CHEVROLET,SPIN,2006,Gasolina,67507,Salvador,cambio,4073.2
CHEVROLET,SPIN,2003,Diesel,47361,São Paulo,alinhamento,217.1
HONDA,FIT,2005,Diesel,142513,São Paulo,transmissao,1057.11
CHEVROLET,SPIN,2000,Gasolina,14677,Curitiba,cambio,3985.91
HONDA,FIT,2004,Etanol,289962,Curitiba,bateria,1802.66
FIAT,TORO,2022,Gasolina,264012,Curitiba,cambio,3869.75
FIAT,TORO,2000,Gasolina,83591,São Paulo,alinhamento,255.73
CHEVROLET,ONIX,2003,Etanol,73168,Salvador,transmissao,932.92
HONDA,FIT,2021,Gasolina,143115,Curitiba,alinhamento,166.17
FORD,FIESTA,2001,Diesel,71939,São Paulo,superaquecimento_motor,1578.16
FORD,FIESTA,2009,Diesel,277876,Curitiba,transmissao,1252.06
HONDA,CIVIC,2004,Diesel,271484,Curitiba,bateria,1746.2
FIAT,MOBI,2009,Gasolina,235560,Manaus,transmissao,1160.38
HONDA,CIVIC,2000,Diesel,284538,Curitiba,alinhamento,389.69
HONDA,FIT,2021,Diesel,135174,São Paulo,velas_de_ignicao,106.07
HONDA,CIVIC,2005,Diesel,19159,Salvador,alinhamento,190.61
VOLKSWAGEN,POLO,2012,Diesel,122366,São Paulo,transmissao,844.73
FIAT,TORO,2014,Diesel,196164,São Paulo,transmissao,937.2
HONDA,CIVIC,2003,Diesel,268356,Curitiba,cambio,6749.23
VOLKSWAGEN,JETTA,2012,Gasolina,299549,Manaus,velas_de_ignicao,194.85
HONDA,CIVIC,2023,Diesel,241876,Belo Horizonte,pastilhas_de_freio,225.78
VOLKSWAGEN,JETTA,2019,Diesel,224065,Belo Horizonte,velas_de_ignicao,137.2
CHEVROLET,SPIN,2023,Etanol,10532,Belo Horizonte,pastilhas_de_freio,129.39
HONDA,CIVIC,2014,Gasolina,210126,São Paulo,bateria,1204.46
HONDA,CIVIC,2007,Gasolina,216351,Curitiba,transmissao,1176.13
FORD,FIESTA,2004,Gasolina,103021,Belo Horizonte,cambio,4679.52
VOLKSWAGEN,POLO,2014,Gasolina,265415,Rio de Janeiro,superaquecimento_motor,1735.51
FIAT,MOBI,2003,Diesel,209,Rio de Janeiro,superaquecimento_motor,1219.6
HONDA,FIT,2011,Diesel,222071,Rio de Janeiro,alinhamento,268.29
HONDA,CIVIC,2012,Etanol,136611,Salvador,velas_de_ignicao,141.9
HONDA,CIVIC,2001,Etanol,282121,Curitiba,velas_de_ignicao,247.0
HONDA,CIVIC,2018,Gasolina,205214,São Paulo,superaquecimento_motor,1368.29
CHEVROLET,ONIX,2018,Etanol,109920,São Paulo,pastilhas_de_freio,204.96
FIAT,MOBI,2003,Etanol,230144,Curitiba,velas_de_ignicao,215.37
FORD,KA,2003,Gasolina,267751,Manaus,pastilhas_de_freio,425.81
HONDA,CIVIC,2010,Gasolina,216194,Manaus,pastilhas_de_freio,326.92
CHEVROLET,SPIN,2004,Etanol,183011,Salvador,pastilhas_de_freio,354.21
CHEVROLET,ONIX,2019,Diesel,149666,Curitiba,pastilhas_de_freio,217.34
FORD,KA,2010,Etanol,7399,Manaus,cambio,3082.53
VOLKSWAGEN,JETTA,2009,Etanol,126812,Salvador,alinhamento,231.19
HONDA,FIT,2007,Diesel,98662,Belo Horizonte,alinhamento,227.02
VOLKSWAGEN,JETTA,2005,Diesel,295761,Belo Horizonte,cambio,6760.23
HONDA,CIVIC,2005,Gasolina,138570,Salvador,superaquecimento_motor,1702.5
VOLKSWAGEN,POLO,2007,Gasolina,248304,Curitiba,alinhamento,312.23
VOLKSWAGEN,POLO,2022,Etanol,271772,Belo Horizonte,bateria,1032.37
FORD,KA,2014,Diesel,7032,Curitiba,cambio,2754.76
FORD,FIESTA,2013,Gasolina,179166,Manaus,velas_de_ignicao,151.4
VOLKSWAGEN,POLO,2010,Etanol,102658,Belo Horizonte,bateria,1062.57
HONDA,FIT,2011,Diesel,55264,Manaus,cambio,3468.76
HONDA,CIVIC,2012,Etanol,94120,Curitiba,alinhamento,197.06
HONDA,CIVIC,2007,Gasolina,47850,Curitiba,velas_de_ignicao,128.75
CHEVROLET,ONIX,2017,Gasolina,4722,Rio de Janeiro,velas_de_ignicao,85.28
HONDA,FIT,2000,Diesel,279916,Salvador,pastilhas_de_freio,463.93
HONDA,CIVIC,2014,Etanol,4576,São Paulo,superaquecimento_motor,934.88
FIAT,TORO,2007,Diesel,157779,Salvador,pastilhas_de_freio,312.82
FORD,FIESTA,2010,Gasolina,41476,Curitiba,cambio,3424.25
FORD,FIESTA,2011,Gasolina,248292,Curitiba,pastilhas_de_freio,338.11
CHEVROLET,SPIN,2011,Etanol,286298,Salvador,bateria,1506.46
FIAT,TORO,2003,Etanol,279309,Curitiba,alinhamento,362.07
HONDA,FIT,2015,Etanol,14439,Manaus,bateria,720.59
FIAT,TORO,2003,Diesel,44518,Belo Horizonte,alinhamento,215.32
HONDA,CIVIC,2004,Etanol,219123,Curitiba,bateria,1586.21
FIAT,MOBI,2023,Etanol,26962,Salvador,velas_de_ignicao,73.79
